Datetime,Traffic_count
2012-10-01 12:00:00,142
2012-10-01 16:00:00,130
2012-10-01 20:00:00,67
2012-10-02 00:00:00,12
2012-10-02 04:00:00,32
2012-10-02 08:00:00,105
2012-10-02 12:00:00,155
2012-10-02 16:00:00,176
2012-10-02 20:00:00,113
2012-10-03 00:00:00,21
2012-10-03 04:00:00,40
2012-10-03 08:00:00,126
2012-10-03 12:00:00,135
2012-10-03 16:00:00,113
2012-10-03 20:00:00,67
2012-10-04 00:00:00,29
2012-10-04 04:00:00,37
2012-10-04 08:00:00,114
2012-10-04 12:00:00,129
2012-10-04 16:00:00,163
2012-10-04 20:00:00,82
2012-10-05 00:00:00,27
2012-10-05 04:00:00,52
2012-10-05 08:00:00,167
2012-10-05 12:00:00,157
2012-10-05 16:00:00,185
2012-10-05 20:00:00,105
2012-10-06 00:00:00,56
2012-10-06 04:00:00,35
2012-10-06 08:00:00,90
2012-10-06 12:00:00,124
2012-10-06 16:00:00,112
2012-10-06 20:00:00,83
2012-10-07 00:00:00,54
2012-10-07 04:00:00,45
2012-10-07 08:00:00,63
2012-10-07 12:00:00,125
2012-10-07 16:00:00,98
2012-10-07 20:00:00,96
2012-10-08 00:00:00,34
2012-10-08 04:00:00,27
2012-10-08 08:00:00,86
2012-10-08 12:00:00,88
2012-10-08 16:00:00,98
2012-10-08 20:00:00,43
2012-10-09 00:00:00,19
2012-10-09 04:00:00,45
2012-10-09 08:00:00,168
2012-10-09 12:00:00,134
2012-10-09 16:00:00,127
2012-10-09 20:00:00,77
2012-10-10 00:00:00,18
2012-10-10 04:00:00,70
2012-10-10 08:00:00,186
2012-10-10 12:00:00,152
2012-10-10 16:00:00,148
2012-10-10 20:00:00,66
2012-10-11 00:00:00,29
2012-10-11 04:00:00,47
2012-10-11 08:00:00,168
2012-10-11 12:00:00,153
2012-10-11 16:00:00,193
2012-10-11 20:00:00,67
2012-10-12 00:00:00,26
2012-10-12 04:00:00,36
2012-10-12 08:00:00,151
2012-10-12 12:00:00,151
2012-10-12 16:00:00,148
2012-10-12 20:00:00,82
2012-10-13 00:00:00,55
2012-10-13 04:00:00,35
2012-10-13 08:00:00,93
2012-10-13 12:00:00,131
2012-10-13 16:00:00,135
2012-10-13 20:00:00,98
2012-10-14 00:00:00,57
2012-10-14 04:00:00,37
2012-10-14 08:00:00,65
2012-10-14 12:00:00,147
2012-10-14 16:00:00,130
2012-10-14 20:00:00,81
2012-10-15 00:00:00,16
2012-10-15 04:00:00,38
2012-10-15 08:00:00,170
2012-10-15 12:00:00,132
2012-10-15 16:00:00,167
2012-10-15 20:00:00,84
2012-10-16 00:00:00,14
2012-10-16 04:00:00,37
2012-10-16 08:00:00,160
2012-10-16 12:00:00,155
2012-10-16 16:00:00,168
2012-10-16 20:00:00,68
2012-10-17 00:00:00,25
2012-10-17 04:00:00,39
2012-10-17 08:00:00,174
2012-10-17 12:00:00,140
2012-10-17 16:00:00,159
2012-10-17 20:00:00,78
2012-10-18 00:00:00,15
2012-10-18 04:00:00,43
2012-10-18 08:00:00,145
